"Source","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages"
"Period","First Quarter(p)"
"Industry","Total, all industries"
"Area Name","Year","Quarter","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Beaver County,"2021","First Quarter(p)","251","2833","2.1","665","1.7","Total, all industries","49001","UT"
Box Elder County,"2021","First Quarter(p)","1542","22429","6.2","927","17.9","Total, all industries","49003","UT"
Cache County,"2021","First Quarter(p)","4042","61183","4.9","790","3.9","Total, all industries","49005","UT"
Carbon County,"2021","First Quarter(p)","625","8271","-3.8","817","-10.1","Total, all industries","49007","UT"
Daggett County,"2021","First Quarter(p)","46","346","5.5","733","-3.2","Total, all industries","49009","UT"
Davis County,"2021","First Quarter(p)","9480","133010","-0.2","934","0.8","Total, all industries","49011","UT"
Duchesne County,"2021","First Quarter(p)","802","7439","-5.6","884","-2.0","Total, all industries","49013","UT"
Emery County,"2021","First Quarter(p)","264","3319","3.2","808","-6.9","Total, all industries","49015","UT"
Garfield County,"2021","First Quarter(p)","267","2038","0.0","809","17.1","Total, all industries","49017","UT"
Grand County,"2021","First Quarter(p)","624","6047","2.3","705","5.9","Total, all industries","49019","UT"
Iron County,"2021","First Quarter(p)","1905","21138","4.5","700","5.4","Total, all industries","49021","UT"
Juab County,"2021","First Quarter(p)","330","3986","4.4","723","1.4","Total, all industries","49023","UT"
Kane County,"2021","First Quarter(p)","362","3604","2.6","725","14.0","Total, all industries","49025","UT"
Millard County,"2021","First Quarter(p)","400","4818","0.5","781","1.7","Total, all industries","49027","UT"
Morgan County,"2021","First Quarter(p)","416","2728","5.9","931","2.5","Total, all industries","49029","UT"
Piute County,"2021","First Quarter(p)","50","280","2.9","559","3.9","Total, all industries","49031","UT"
Rich County,"2021","First Quarter(p)","136","737","8.9","646","11.2","Total, all industries","49033","UT"
Salt Lake County,"2021","First Quarter(p)","53171","724436","0.2","1230","3.5","Total, all industries","49035","UT"
San Juan County,"2021","First Quarter(p)","331","3857","-5.2","774","10.4","Total, all industries","49037","UT"
Sanpete County,"2021","First Quarter(p)","663","8514","2.8","669","2.6","Total, all industries","49039","UT"
Sevier County,"2021","First Quarter(p)","736","9108","2.2","723","1.3","Total, all industries","49041","UT"
Summit County,"2021","First Quarter(p)","3201","28620","-8.4","993","7.9","Total, all industries","49043","UT"
Tooele County,"2021","First Quarter(p)","1288","18889","12.3","838","3.6","Total, all industries","49045","UT"
Uintah County,"2021","First Quarter(p)","1261","12098","-2.1","801","-3.3","Total, all industries","49047","UT"
Utah County,"2021","First Quarter(p)","19376","267176","6.6","1070","7.6","Total, all industries","49049","UT"
Wasatch County,"2021","First Quarter(p)","1324","10470","7.1","904","5.5","Total, all industries","49051","UT"
Washington County,"2021","First Quarter(p)","6979","74995","5.4","739","-0.8","Total, all industries","49053","UT"
Wayne County,"2021","First Quarter(p)","143","1035","3.1","696","6.9","Total, all industries","49055","UT"
Weber County,"2021","First Quarter(p)","6726","111520","2.1","893","3.7","Total, all industries","49057","UT"
 
