"Source","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages"
"Period","First Quarter(p)"
"Industry","Total, all industries"
"Area Name","Year","Quarter","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Beaverhead County,"2021","First Quarter(p)","499","3709","-2.2","758","4.7","Total, all industries","30001","MT"
Big Horn County,"2021","First Quarter(p)","262","3612","-8.8","851","-3.2","Total, all industries","30003","MT"
Blaine County,"2021","First Quarter(p)","184","1370","-2.1","730","5.8","Total, all industries","30005","MT"
Broadwater County,"2021","First Quarter(p)","211","1303","-3.4","708","3.1","Total, all industries","30007","MT"
Carbon County,"2021","First Quarter(p)","511","2681","-1.3","673","4.2","Total, all industries","30009","MT"
Carter County,"2021","First Quarter(p)","48","246","-2.4","729","18.0","Total, all industries","30011","MT"
Cascade County,"2021","First Quarter(p)","2741","34421","-2.2","844","1.7","Total, all industries","30013","MT"
Chouteau County,"2021","First Quarter(p)","206","1171","-3.1","635","6.9","Total, all industries","30015","MT"
Custer County,"2021","First Quarter(p)","491","5208","-1.6","739","2.9","Total, all industries","30017","MT"
Daniels County,"2021","First Quarter(p)","91","560","-4.4","833","3.1","Total, all industries","30019","MT"
Dawson County,"2021","First Quarter(p)","376","3431","-3.4","789","-4.1","Total, all industries","30021","MT"
Deer Lodge County,"2021","First Quarter(p)","291","3030","-0.2","781","5.0","Total, all industries","30023","MT"
Fallon County,"2021","First Quarter(p)","165","1179","-8.3","937","-19.2","Total, all industries","30025","MT"
Fergus County,"2021","First Quarter(p)","533","4332","-1.7","730","3.0","Total, all industries","30027","MT"
Flathead County,"2021","First Quarter(p)","5274","44538","3.3","860","6.8","Total, all industries","30029","MT"
Gallatin County,"2021","First Quarter(p)","7521","61718","2.6","995","10.7","Total, all industries","30031","MT"
Garfield County,"2021","First Quarter(p)","57","307","-5.0","531","8.6","Total, all industries","30033","MT"
Glacier County,"2021","First Quarter(p)","300","3706","-4.6","810","5.7","Total, all industries","30035","MT"
Golden Valley County,"2021","First Quarter(p)","29","202","5.8","497","-7.8","Total, all industries","30037","MT"
Granite County,"2021","First Quarter(p)","150","901","-0.3","610","11.5","Total, all industries","30039","MT"
Hill County,"2021","First Quarter(p)","576","6471","-2.1","781","3.3","Total, all industries","30041","MT"
Jefferson County,"2021","First Quarter(p)","397","2281","-1.0","847","6.7","Total, all industries","30043","MT"
Judith Basin County,"2021","First Quarter(p)","104","470","-8.7","636","-26.3","Total, all industries","30045","MT"
Lake County,"2021","First Quarter(p)","1035","9049","-0.4","746","4.6","Total, all industries","30047","MT"
Lewis and Clark County,"2021","First Quarter(p)","3067","36301","1.0","945","3.7","Total, all industries","30049","MT"
Liberty County,"2021","First Quarter(p)","94","535","6.4","691","8.5","Total, all industries","30051","MT"
Lincoln County,"2021","First Quarter(p)","736","5228","-0.1","695","5.6","Total, all industries","30053","MT"
McCone County,"2021","First Quarter(p)","71","525","14.4","749","-3.4","Total, all industries","30055","MT"
Madison County,"2021","First Quarter(p)","483","4650","-5.1","1025","21.4","Total, all industries","30057","MT"
Meagher County,"2021","First Quarter(p)","116","662","1.8","543","-6.5","Total, all industries","30059","MT"
Mineral County,"2021","First Quarter(p)","152","1159","10.1","638","10.6","Total, all industries","30061","MT"
Missoula County,"2021","First Quarter(p)","5498","59570","-1.9","885","6.0","Total, all industries","30063","MT"
Musselshell County,"2021","First Quarter(p)","149","1221","-0.7","881","-6.2","Total, all industries","30065","MT"
Park County,"2021","First Quarter(p)","1049","5750","-0.9","762","3.0","Total, all industries","30067","MT"
Petroleum County,"2021","First Quarter(p)","20","88","-10.2","577","0.7","Total, all industries","30069","MT"
Phillips County,"2021","First Quarter(p)","177","1203","-2.9","697","3.1","Total, all industries","30071","MT"
Pondera County,"2021","First Quarter(p)","223","1587","0.4","717","3.9","Total, all industries","30073","MT"
Powder River County,"2021","First Quarter(p)","96","472","-1.0","600","0.0","Total, all industries","30075","MT"
Powell County,"2021","First Quarter(p)","214","2240","0.7","843","8.4","Total, all industries","30077","MT"
Prairie County,"2021","First Quarter(p)","50","285","11.8","780","1.6","Total, all industries","30079","MT"
Ravalli County,"2021","First Quarter(p)","1895","12361","2.9","762","4.5","Total, all industries","30081","MT"
Richland County,"2021","First Quarter(p)","597","5077","-3.0","1003","-3.3","Total, all industries","30083","MT"
Roosevelt County,"2021","First Quarter(p)","268","3356","-3.0","795","3.4","Total, all industries","30085","MT"
Rosebud County,"2021","First Quarter(p)","238","3379","-7.4","1005","-1.4","Total, all industries","30087","MT"
Sanders County,"2021","First Quarter(p)","454","2941","0.8","653","4.5","Total, all industries","30089","MT"
Sheridan County,"2021","First Quarter(p)","211","1254","-3.5","754","-0.1","Total, all industries","30091","MT"
Silver Bow County,"2021","First Quarter(p)","1273","15250","-0.3","874","1.3","Total, all industries","30093","MT"
Stillwater County,"2021","First Quarter(p)","322","3688","3.3","1484","6.9","Total, all industries","30095","MT"
Sweet Grass County,"2021","First Quarter(p)","238","1560","5.5","1060","-1.1","Total, all industries","30097","MT"
Teton County,"2021","First Quarter(p)","282","1701","2.0","670","3.1","Total, all industries","30099","MT"
Toole County,"2021","First Quarter(p)","215","1742","-1.3","896","6.0","Total, all industries","30101","MT"
Treasure County,"2021","First Quarter(p)","33","208","5.1","716","2.7","Total, all industries","30103","MT"
Valley County,"2021","First Quarter(p)","340","2855","-1.0","775","1.7","Total, all industries","30105","MT"
Wheatland County,"2021","First Quarter(p)","99","560","-1.2","759","7.1","Total, all industries","30107","MT"
Wibaux County,"2021","First Quarter(p)","41","235","-6.0","687","-0.1","Total, all industries","30109","MT"
Yellowstone County,"2021","First Quarter(p)","6615","80996","-0.8","983","3.0","Total, all industries","30111","MT"
 
