"Source","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages"
"Period","First Quarter(p)"
"Industry","Total, all industries"
"Area Name","Year","Quarter","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Abbeville County,"2021","First Quarter(p)","367","5323","-3.5","762","3.4","Total, all industries","45001","SC"
Aiken County,"2021","First Quarter(p)","3223","58844","-3.1","1018","0.5","Total, all industries","45003","SC"
Allendale County,"2021","First Quarter(p)","173","2463","-7.4","975","13.5","Total, all industries","45005","SC"
Anderson County,"2021","First Quarter(p)","3928","65468","-2.2","827","1.3","Total, all industries","45007","SC"
Bamberg County,"2021","First Quarter(p)","296","3332","-6.6","704","2.9","Total, all industries","45009","SC"
Barnwell County,"2021","First Quarter(p)","394","4682","-6.0","677","-1.0","Total, all industries","45011","SC"
Beaufort County,"2021","First Quarter(p)","6552","65246","-3.6","822","2.1","Total, all industries","45013","SC"
Berkeley County,"2021","First Quarter(p)","3716","55875","-1.3","1110","0.5","Total, all industries","45015","SC"
Calhoun County,"2021","First Quarter(p)","259","4454","-4.4","956","7.5","Total, all industries","45017","SC"
Charleston County,"2021","First Quarter(p)","18229","245776","-4.2","1077","6.6","Total, all industries","45019","SC"
Cherokee County,"2021","First Quarter(p)","896","20153","-2.1","721","-1.8","Total, all industries","45021","SC"
Chester County,"2021","First Quarter(p)","585","9499","-4.7","857","-0.5","Total, all industries","45023","SC"
Chesterfield County,"2021","First Quarter(p)","729","14255","-3.5","765","0.9","Total, all industries","45025","SC"
Clarendon County,"2021","First Quarter(p)","630","6719","-1.5","624","7.0","Total, all industries","45027","SC"
Colleton County,"2021","First Quarter(p)","790","9771","-7.1","696","3.7","Total, all industries","45029","SC"
Darlington County,"2021","First Quarter(p)","1150","19743","-3.5","978","-0.8","Total, all industries","45031","SC"
Dillon County,"2021","First Quarter(p)","501","9299","1.8","625","-2.0","Total, all industries","45033","SC"
Dorchester County,"2021","First Quarter(p)","2836","34914","-2.4","791","2.7","Total, all industries","45035","SC"
Edgefield County,"2021","First Quarter(p)","365","5016","-6.5","766","1.9","Total, all industries","45037","SC"
Fairfield County,"2021","First Quarter(p)","375","5267","-1.1","1059","2.9","Total, all industries","45039","SC"
Florence County,"2021","First Quarter(p)","3431","63776","-2.7","811","4.8","Total, all industries","45041","SC"
Georgetown County,"2021","First Quarter(p)","2056","23512","-2.6","833","2.8","Total, all industries","45043","SC"
Greenville County,"2021","First Quarter(p)","16549","270616","-1.8","1007","3.5","Total, all industries","45045","SC"
Greenwood County,"2021","First Quarter(p)","1474","27402","-4.5","858","3.7","Total, all industries","45047","SC"
Hampton County,"2021","First Quarter(p)","397","4483","-1.7","743","-0.9","Total, all industries","45049","SC"
Horry County,"2021","First Quarter(p)","10345","123955","-3.9","718","6.4","Total, all industries","45051","SC"
Jasper County,"2021","First Quarter(p)","786","9755","-1.6","825","3.0","Total, all industries","45053","SC"
Kershaw County,"2021","First Quarter(p)","1342","17027","-1.0","746","0.8","Total, all industries","45055","SC"
Lancaster County,"2021","First Quarter(p)","1692","26112","1.5","1008","2.5","Total, all industries","45057","SC"
Laurens County,"2021","First Quarter(p)","905","20338","-1.9","822","2.1","Total, all industries","45059","SC"
Lee County,"2021","First Quarter(p)","305","3690","0.3","732","-0.7","Total, all industries","45061","SC"
Lexington County,"2021","First Quarter(p)","7564","119798","-1.1","887","2.3","Total, all industries","45063","SC"
McCormick County,"2021","First Quarter(p)","179","1574","-2.8","670","2.1","Total, all industries","45065","SC"
Marion County,"2021","First Quarter(p)","508","6931","1.3","669","2.8","Total, all industries","45067","SC"
Marlboro County,"2021","First Quarter(p)","341","6374","-2.2","882","8.0","Total, all industries","45069","SC"
Newberry County,"2021","First Quarter(p)","843","14730","2.0","784","2.2","Total, all industries","45071","SC"
Oconee County,"2021","First Quarter(p)","1793","23239","-3.5","932","-1.2","Total, all industries","45073","SC"
Orangeburg County,"2021","First Quarter(p)","1720","26953","-5.3","784","-0.5","Total, all industries","45075","SC"
Pickens County,"2021","First Quarter(p)","2471","35439","-4.1","842","-0.5","Total, all industries","45077","SC"
Richland County,"2021","First Quarter(p)","11092","215889","-2.5","1027","4.5","Total, all industries","45079","SC"
Saluda County,"2021","First Quarter(p)","287","4916","-2.3","659","5.4","Total, all industries","45081","SC"
Spartanburg County,"2021","First Quarter(p)","7023","146808","-2.1","926","0.1","Total, all industries","45083","SC"
Sumter County,"2021","First Quarter(p)","2171","36060","-2.9","812","5.2","Total, all industries","45085","SC"
Union County,"2021","First Quarter(p)","453","7486","-3.5","774","-0.9","Total, all industries","45087","SC"
Williamsburg County,"2021","First Quarter(p)","639","7903","-5.5","795","4.1","Total, all industries","45089","SC"
York County,"2021","First Quarter(p)","7104","98634","-2.1","1017","2.0","Total, all industries","45091","SC"
 
