"Source","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages"
"Period","First Quarter(p)"
"Industry","Total, all industries"
"Area Name","Year","Quarter","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Adams County,"2021","First Quarter(p)","118","848","-2.5","809","0.5","Total, all industries","38001","ND"
Barnes County,"2021","First Quarter(p)","425","4429","-0.4","805","2.9","Total, all industries","38003","ND"
Benson County,"2021","First Quarter(p)","139","1813","-10.7","868","13.6","Total, all industries","38005","ND"
Billings County,"2021","First Quarter(p)","49","375","0.3","897","1.0","Total, all industries","38007","ND"
Bottineau County,"2021","First Quarter(p)","320","2168","-3.6","821","-2.5","Total, all industries","38009","ND"
Bowman County,"2021","First Quarter(p)","187","1348","-4.5","793","-3.3","Total, all industries","38011","ND"
Burke County,"2021","First Quarter(p)","117","618","-3.0","1118","3.3","Total, all industries","38013","ND"
Burleigh County,"2021","First Quarter(p)","3864","55106","-0.5","1052","1.5","Total, all industries","38015","ND"
Cass County,"2021","First Quarter(p)","7698","117017","-2.1","1079","5.6","Total, all industries","38017","ND"
Cavalier County,"2021","First Quarter(p)","160","1254","-3.9","794","2.3","Total, all industries","38019","ND"
Dickey County,"2021","First Quarter(p)","246","1651","-3.2","778","3.6","Total, all industries","38021","ND"
Divide County,"2021","First Quarter(p)","123","715","-3.4","868","-6.7","Total, all industries","38023","ND"
Dunn County,"2021","First Quarter(p)","210","1770","-18.7","1366","-10.1","Total, all industries","38025","ND"
Eddy County,"2021","First Quarter(p)","99","715","-4.7","643","5.1","Total, all industries","38027","ND"
Emmons County,"2021","First Quarter(p)","162","934","-1.9","702","4.0","Total, all industries","38029","ND"
Foster County,"2021","First Quarter(p)","164","1484","-4.0","913","4.1","Total, all industries","38031","ND"
Golden Valley County,"2021","First Quarter(p)","93","611","-2.2","689","-1.4","Total, all industries","38033","ND"
Grand Forks County,"2021","First Quarter(p)","2340","37237","-5.3","936","3.4","Total, all industries","38035","ND"
Grant County,"2021","First Quarter(p)","96","593","8.8","703","2.0","Total, all industries","38037","ND"
Griggs County,"2021","First Quarter(p)","103","788","-0.1","765","3.2","Total, all industries","38039","ND"
Hettinger County,"2021","First Quarter(p)","135","675","2.1","904","5.6","Total, all industries","38041","ND"
Kidder County,"2021","First Quarter(p)","112","642","2.2","783","3.6","Total, all industries","38043","ND"
LaMoure County,"2021","First Quarter(p)","221","1311","0.3","746","2.9","Total, all industries","38045","ND"
Logan County,"2021","First Quarter(p)","105","610","1.5","615","1.3","Total, all industries","38047","ND"
McHenry County,"2021","First Quarter(p)","208","1262","3.5","859","-2.2","Total, all industries","38049","ND"
McIntosh County,"2021","First Quarter(p)","138","997","0.7","745","-0.3","Total, all industries","38051","ND"
McKenzie County,"2021","First Quarter(p)","815","8685","-25.4","1411","-11.5","Total, all industries","38053","ND"
McLean County,"2021","First Quarter(p)","364","3251","-5.6","1169","-2.4","Total, all industries","38055","ND"
Mercer County,"2021","First Quarter(p)","310","3931","-1.7","1306","0.6","Total, all industries","38057","ND"
Morton County,"2021","First Quarter(p)","1071","11329","-0.7","908","0.9","Total, all industries","38059","ND"
Mountrail County,"2021","First Quarter(p)","522","4957","-15.5","1261","-6.3","Total, all industries","38061","ND"
Nelson County,"2021","First Quarter(p)","159","927","-2.1","707","5.7","Total, all industries","38063","ND"
Oliver County,"2021","First Quarter(p)","65","704","5.7","1508","-6.5","Total, all industries","38065","ND"
Pembina County,"2021","First Quarter(p)","382","3256","-2.0","894","2.4","Total, all industries","38067","ND"
Pierce County,"2021","First Quarter(p)","193","1538","-2.6","847","2.0","Total, all industries","38069","ND"
Ramsey County,"2021","First Quarter(p)","507","5416","-2.6","840","5.1","Total, all industries","38071","ND"
Ransom County,"2021","First Quarter(p)","254","1955","-2.7","755","4.0","Total, all industries","38073","ND"
Renville County,"2021","First Quarter(p)","136","718","0.1","759","1.7","Total, all industries","38075","ND"
Richland County,"2021","First Quarter(p)","637","7461","-0.2","882","3.6","Total, all industries","38077","ND"
Rolette County,"2021","First Quarter(p)","274","4134","-3.1","845","8.2","Total, all industries","38079","ND"
Sargent County,"2021","First Quarter(p)","169","2980","-19.4","1180","21.4","Total, all industries","38081","ND"
Sheridan County,"2021","First Quarter(p)","50","215","-0.5","587","6.5","Total, all industries","38083","ND"
Sioux County,"2021","First Quarter(p)","64","1440","-4.1","916","10.8","Total, all industries","38085","ND"
Slope County,"2021","First Quarter(p)","16","107","-26.7","1069","-10.7","Total, all industries","38087","ND"
Stark County,"2021","First Quarter(p)","1439","16638","-14.5","1098","-9.0","Total, all industries","38089","ND"
Steele County,"2021","First Quarter(p)","78","540","-4.1","952","1.7","Total, all industries","38091","ND"
Stutsman County,"2021","First Quarter(p)","808","10312","-4.4","897","1.8","Total, all industries","38093","ND"
Towner County,"2021","First Quarter(p)","100","665","-3.3","817","3.8","Total, all industries","38095","ND"
Traill County,"2021","First Quarter(p)","386","3271","-0.2","901","6.8","Total, all industries","38097","ND"
Walsh County,"2021","First Quarter(p)","515","4566","0.9","892","8.3","Total, all industries","38099","ND"
Ward County,"2021","First Quarter(p)","2392","29187","-5.3","953","-2.3","Total, all industries","38101","ND"
Wells County,"2021","First Quarter(p)","199","1385","-1.3","793","3.3","Total, all industries","38103","ND"
Williams County,"2021","First Quarter(p)","2056","21494","-25.3","1291","-17.3","Total, all industries","38105","ND"
 
