"Source","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages"
"Period","First Quarter(p)"
"Industry","Total, all industries"
"Area Name","Year","Quarter","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Adams County,"2021","First Quarter(p)","723","13179","-1.5","762","0.3","Total, all industries","18001","IN"
Allen County,"2021","First Quarter(p)","9347","183251","-2.4","977","0.1","Total, all industries","18003","IN"
Bartholomew County,"2021","First Quarter(p)","1983","47571","-6.6","1255","0.0","Total, all industries","18005","IN"
Benton County,"2021","First Quarter(p)","221","2304","-0.7","778","0.0","Total, all industries","18007","IN"
Blackford County,"2021","First Quarter(p)","227","2810","-2.4","750","2.5","Total, all industries","18009","IN"
Boone County,"2021","First Quarter(p)","2004","37054","10.4","872","1.2","Total, all industries","18011","IN"
Brown County,"2021","First Quarter(p)","324","2591","-0.7","569","2.7","Total, all industries","18013","IN"
Carroll County,"2021","First Quarter(p)","400","5433","-4.1","767","1.7","Total, all industries","18015","IN"
Cass County,"2021","First Quarter(p)","704","13946","-2.8","768","4.6","Total, all industries","18017","IN"
Clark County,"2021","First Quarter(p)","2765","53766","-0.8","847","2.9","Total, all industries","18019","IN"
Clay County,"2021","First Quarter(p)","494","7380","-5.6","677","-0.7","Total, all industries","18021","IN"
Clinton County,"2021","First Quarter(p)","618","10704","-4.1","799","-2.8","Total, all industries","18023","IN"
Crawford County,"2021","First Quarter(p)","153","1813","-2.2","662","-2.6","Total, all industries","18025","IN"
Daviess County,"2021","First Quarter(p)","907","11991","-2.6","734","1.8","Total, all industries","18027","IN"
Dearborn County,"2021","First Quarter(p)","1052","14177","-1.1","776","0.1","Total, all industries","18029","IN"
Decatur County,"2021","First Quarter(p)","673","13889","-3.9","889","-1.6","Total, all industries","18031","IN"
DeKalb County,"2021","First Quarter(p)","1024","21373","-1.8","1000","3.8","Total, all industries","18033","IN"
Delaware County,"2021","First Quarter(p)","2219","42890","-4.5","831","1.0","Total, all industries","18035","IN"
Dubois County,"2021","First Quarter(p)","1312","27339","-4.6","828","-1.3","Total, all industries","18037","IN"
Elkhart County,"2021","First Quarter(p)","4869","135086","3.5","1122","15.1","Total, all industries","18039","IN"
Fayette County,"2021","First Quarter(p)","407","5804","-2.0","775","-1.3","Total, all industries","18041","IN"
Floyd County,"2021","First Quarter(p)","1880","30182","-1.3","855","1.8","Total, all industries","18043","IN"
Fountain County,"2021","First Quarter(p)","368","4478","-4.4","718","1.4","Total, all industries","18045","IN"
Franklin County,"2021","First Quarter(p)","347","4294","-2.0","661","0.8","Total, all industries","18047","IN"
Fulton County,"2021","First Quarter(p)","454","5871","-4.7","763","2.0","Total, all industries","18049","IN"
Gibson County,"2021","First Quarter(p)","760","20828","-2.3","956","1.2","Total, all industries","18051","IN"
Grant County,"2021","First Quarter(p)","1184","26164","-2.6","797","0.1","Total, all industries","18053","IN"
Greene County,"2021","First Quarter(p)","547","6274","-0.7","698","0.0","Total, all industries","18055","IN"
Hamilton County,"2021","First Quarter(p)","10361","142456","-0.8","1208","3.7","Total, all industries","18057","IN"
Hancock County,"2021","First Quarter(p)","1666","25012","-2.5","957","4.7","Total, all industries","18059","IN"
Harrison County,"2021","First Quarter(p)","695","9830","-4.7","750","2.0","Total, all industries","18061","IN"
Hendricks County,"2021","First Quarter(p)","3673","76161","3.5","804","-0.5","Total, all industries","18063","IN"
Henry County,"2021","First Quarter(p)","841","12623","-3.5","750","2.7","Total, all industries","18065","IN"
Howard County,"2021","First Quarter(p)","1738","35568","-4.8","1027","0.6","Total, all industries","18067","IN"
Huntington County,"2021","First Quarter(p)","910","13384","-1.1","768","0.4","Total, all industries","18069","IN"
Jackson County,"2021","First Quarter(p)","963","22413","-0.2","906","-5.7","Total, all industries","18071","IN"
Jasper County,"2021","First Quarter(p)","821","11449","-2.6","778","-2.0","Total, all industries","18073","IN"
Jay County,"2021","First Quarter(p)","411","6664","-0.4","751","0.3","Total, all industries","18075","IN"
Jefferson County,"2021","First Quarter(p)","678","12111","-2.3","796","0.3","Total, all industries","18077","IN"
Jennings County,"2021","First Quarter(p)","409","7208","-4.1","750","-0.9","Total, all industries","18079","IN"
Johnson County,"2021","First Quarter(p)","3665","57193","0.6","790","0.8","Total, all industries","18081","IN"
