"Source","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages"
"Period","First Quarter(p)"
"Industry","Total, all industries"
"Area Name","Year","Quarter","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Barnstable County,"2021","First Quarter(p)","9577","80706","-5.8","1037","4.4","Total, all industries","25001","MA"
Berkshire County,"2021","First Quarter(p)","5390","53275","-8.2","997","4.6","Total, all industries","25003","MA"
Bristol County,"2021","First Quarter(p)","18106","211090","-6.5","1074","6.1","Total, all industries","25005","MA"
Dukes County,"2021","First Quarter(p)","1374","6776","-3.6","1188","7.0","Total, all industries","25007","MA"
Essex County,"2021","First Quarter(p)","28572","299847","-6.1","1348","8.6","Total, all industries","25009","MA"
Franklin County,"2021","First Quarter(p)","2584","24271","-6.1","888","2.9","Total, all industries","25011","MA"
Hampden County,"2021","First Quarter(p)","19430","196003","-5.9","1026","0.1","Total, all industries","25013","MA"
Hampshire County,"2021","First Quarter(p)","4978","59799","-7.0","1029","5.9","Total, all industries","25015","MA"
Middlesex County,"2021","First Quarter(p)","58604","871836","-6.2","2093","8.6","Total, all industries","25017","MA"
Nantucket County,"2021","First Quarter(p)","1200","5518","0.7","1285","5.6","Total, all industries","25019","MA"
Norfolk County,"2021","First Quarter(p)","25977","320442","-6.9","1460","7.0","Total, all industries","25021","MA"
Plymouth County,"2021","First Quarter(p)","16829","179108","-5.8","1162","8.2","Total, all industries","25023","MA"
Suffolk County,"2021","First Quarter(p)","32827","644309","-8.5","2540","8.1","Total, all industries","25025","MA"
Worcester County,"2021","First Quarter(p)","27314","327680","-6.1","1234","6.7","Total, all industries","25027","MA"
 
