"Source","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages"
"Period","First Quarter(p)"
"Industry","Total, all industries"
"Area Name","Year","Quarter","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Anderson County,"2021","First Quarter(p)","1773","40157","-0.1","1195","0.6","Total, all industries","47001","TN"
Bedford County,"2021","First Quarter(p)","934","16190","0.3","775","1.2","Total, all industries","47003","TN"
Benton County,"2021","First Quarter(p)","320","4078","-0.6","717","7.5","Total, all industries","47005","TN"
Bledsoe County,"2021","First Quarter(p)","158","2125","-3.0","722","3.7","Total, all industries","47007","TN"
Blount County,"2021","First Quarter(p)","2740","50264","-1.1","952","3.5","Total, all industries","47009","TN"
Bradley County,"2021","First Quarter(p)","2064","42704","-1.2","851","2.4","Total, all industries","47011","TN"
Campbell County,"2021","First Quarter(p)","672","9111","-0.2","681","-1.2","Total, all industries","47013","TN"
Cannon County,"2021","First Quarter(p)","249","2375","0.0","687","3.0","Total, all industries","47015","TN"
Carroll County,"2021","First Quarter(p)","486","6242","-5.5","657","4.6","Total, all industries","47017","TN"
Carter County,"2021","First Quarter(p)","763","11564","-0.7","700","1.4","Total, all industries","47019","TN"
Cheatham County,"2021","First Quarter(p)","766","8948","5.7","922","0.4","Total, all industries","47021","TN"
Chester County,"2021","First Quarter(p)","287","3838","5.0","694","0.7","Total, all industries","47023","TN"
Claiborne County,"2021","First Quarter(p)","520","8863","-2.9","714","1.0","Total, all industries","47025","TN"
Clay County,"2021","First Quarter(p)","146","1278","-0.9","593","2.4","Total, all industries","47027","TN"
Cocke County,"2021","First Quarter(p)","530","7333","0.1","714","3.3","Total, all industries","47029","TN"
Coffee County,"2021","First Quarter(p)","1382","25421","-3.3","895","2.4","Total, all industries","47031","TN"
Crockett County,"2021","First Quarter(p)","282","3671","0.5","864","-6.4","Total, all industries","47033","TN"
Cumberland County,"2021","First Quarter(p)","1283","16959","-3.9","694","4.2","Total, all industries","47035","TN"
Davidson County,"2021","First Quarter(p)","27051","484413","-5.4","1377","7.7","Total, all industries","47037","TN"
Decatur County,"2021","First Quarter(p)","241","3121","-7.5","739","1.2","Total, all industries","47039","TN"
DeKalb County,"2021","First Quarter(p)","376","5651","2.3","741","-0.4","Total, all industries","47041","TN"
Dickson County,"2021","First Quarter(p)","1170","17572","-0.9","770","1.3","Total, all industries","47043","TN"
Dyer County,"2021","First Quarter(p)","841","14982","-0.6","840","4.9","Total, all industries","47045","TN"
Fayette County,"2021","First Quarter(p)","671","8066","3.3","899","3.7","Total, all industries","47047","TN"
Fentress County,"2021","First Quarter(p)","329","5166","-0.2","606","2.7","Total, all industries","47049","TN"
Franklin County,"2021","First Quarter(p)","840","10892","-6.1","770","2.4","Total, all industries","47051","TN"
Gibson County,"2021","First Quarter(p)","1003","14041","-0.7","741","1.4","Total, all industries","47053","TN"
Giles County,"2021","First Quarter(p)","655","9587","-3.6","770","0.9","Total, all industries","47055","TN"
Grainger County,"2021","First Quarter(p)","313","4025","1.6","791","4.2","Total, all industries","47057","TN"
Greene County,"2021","First Quarter(p)","1347","24483","0.1","758","-0.3","Total, all industries","47059","TN"
Grundy County,"2021","First Quarter(p)","204","2096","-3.7","572","7.5","Total, all industries","47061","TN"
Hamblen County,"2021","First Quarter(p)","1372","31701","-1.9","790","1.0","Total, all industries","47063","TN"
Hamilton County,"2021","First Quarter(p)","11020","199844","-3.5","1069","3.8","Total, all industries","47065","TN"
Hancock County,"2021","First Quarter(p)","85","980","3.7","535","-0.6","Total, all industries","47067","TN"
Hardeman County,"2021","First Quarter(p)","394","6293","-8.4","765","-0.9","Total, all industries","47069","TN"
Hardin County,"2021","First Quarter(p)","579","7875","-0.6","840","-2.6","Total, all industries","47071","TN"
