"Source","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages"
"Period","First Quarter(p)"
"Industry","Total, all industries"
"Area Name","Year","Quarter","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Aleutians East Borough,"2021","First Quarter(p)","105","2037","-23.7","1046","-6.9","Total, all industries","02013","AK"
Aleutians West Census Area,"2021","First Quarter(p)","162","4052","-10.4","1106","-7.1","Total, all industries","02016","AK"
Anchorage Municipality,"2021","First Quarter(p)","8370","136134","-5.6","1190","0.8","Total, all industries","02020","AK"
Bethel Census Area,"2021","First Quarter(p)","346","6163","-12.9","930","0.6","Total, all industries","02050","AK"
Bristol Bay Borough,"2021","First Quarter(p)","132","538","9.6","1212","16.7","Total, all industries","02060","AK"
Chugach Census Area,"2021","First Quarter(p)","415","2867","-3.9","1307","-0.5","Total, all industries","02063","AK"
Copper River Census Area,"2021","First Quarter(p)","149","873","0.1","934","-6.7","Total, all industries","02066","AK"
Denali Borough,"2021","First Quarter(p)","144","882","0.3","1425","6.1","Total, all industries","02068","AK"
Dillingham Census Area,"2021","First Quarter(p)","157","1763","-14.0","928","1.1","Total, all industries","02070","AK"
Fairbanks North Star Borough,"2021","First Quarter(p)","2304","34261","-4.5","1031","0.3","Total, all industries","02090","AK"
Haines Borough,"2021","First Quarter(p)","155","702","-3.0","724","4.5","Total, all industries","02100","AK"
Hoonah-Angoon Census Area,"2021","First Quarter(p)","137","621","0.0","687","-0.7","Total, all industries","02105","AK"
Juneau City and Borough,"2021","First Quarter(p)","1136","15556","-5.3","1072","2.3","Total, all industries","02110","AK"
Kenai Peninsula Borough,"2021","First Quarter(p)","2202","18461","-0.6","1016","2.1","Total, all industries","02122","AK"
Ketchikan Gateway Borough,"2021","First Quarter(p)","608","5924","-6.7","965","2.1","Total, all industries","02130","AK"
Kodiak Island Borough,"2021","First Quarter(p)","475","5409","-7.4","917","1.1","Total, all industries","02150","AK"
Kusilvak Census Area,"2021","First Quarter(p)","137","1912","-5.1","672","7.7","Total, all industries","02158","AK"
Lake and Peninsula Borough,"2021","First Quarter(p)","121","645","-5.3","668","5.2","Total, all industries","02164","AK"
Matanuska-Susitna Borough,"2021","First Quarter(p)","2455","25455","3.1","848","-2.0","Total, all industries","02170","AK"
Nome Census Area,"2021","First Quarter(p)","306","3355","-11.5","1155","12.9","Total, all industries","02180","AK"
North Slope Borough,"2021","First Quarter(p)","244","9653","-29.3","2121","-3.9","Total, all industries","02185","AK"
Northwest Arctic Borough,"2021","First Quarter(p)","160","2722","-3.9","1393","-4.7","Total, all industries","02188","AK"
Petersburg Borough,"2021","First Quarter(p)","157","1305","10.1","846","8.9","Total, all industries","02195","AK"
Prince of Wales-Hyder Census Area,"2021","First Quarter(p)","251","2030","-4.0","786","4.9","Total, all industries","02198","AK"
Sitka City and Borough,"2021","First Quarter(p)","368","3743","0.6","882","-0.6","Total, all industries","02220","AK"
Skagway Municipality,"2021","First Quarter(p)","118","395","-12.0","817","-0.5","Total, all industries","02230","AK"
Southeast Fairbanks Census Area,"2021","First Quarter(p)","245","2603","8.1","1383","1.5","Total, all industries","02240","AK"
Wrangell City and Borough,"2021","First Quarter(p)","94","714","-6.3","746","5.2","Total, all industries","02275","AK"
Yakutat City and Borough,"2021","First Quarter(p)","45","297","9.2","921","-3.5","Total, all industries","02282","AK"
Yukon-Koyukuk Census Area,"2021","First Quarter(p)","260","2098","1.2","812","10.0","Total, all industries","02290","AK"
 
