"Source","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages"
"Period","First Quarter(p)"
"Industry","Total, all industries"
"Area Name","Year","Quarter","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Adams County,"2021","First Quarter(p)","12637","223847","-1.0","1140","1.2","Total, all industries","08001","CO"
Alamosa County,"2021","First Quarter(p)","613","8012","-1.8","798","2.4","Total, all industries","08003","CO"
Arapahoe County,"2021","First Quarter(p)","24262","321635","-3.0","1541","2.5","Total, all industries","08005","CO"
Archuleta County,"2021","First Quarter(p)","630","4250","1.5","713","-0.6","Total, all industries","08007","CO"
Baca County,"2021","First Quarter(p)","124","1096","-1.7","675","3.7","Total, all industries","08009","CO"
Bent County,"2021","First Quarter(p)","99","1055","-7.7","718","5.6","Total, all industries","08011","CO"
Boulder County,"2021","First Quarter(p)","17249","181140","-3.7","1562","7.2","Total, all industries","08013","CO"
Broomfield County,"2021","First Quarter(p)","3166","38683","-5.2","2111","-2.6","Total, all industries","08014","CO"
Chaffee County,"2021","First Quarter(p)","1101","8041","1.3","822","7.7","Total, all industries","08015","CO"
Cheyenne County,"2021","First Quarter(p)","103","701","-1.1","835","1.0","Total, all industries","08017","CO"
Clear Creek County,"2021","First Quarter(p)","387","3067","-9.8","1017","6.7","Total, all industries","08019","CO"
Conejos County,"2021","First Quarter(p)","196","1473","1.5","645","1.3","Total, all industries","08021","CO"
Costilla County,"2021","First Quarter(p)","109","910","-3.0","660","2.6","Total, all industries","08023","CO"
Crowley County,"2021","First Quarter(p)","76","1154","2.8","878","8.5","Total, all industries","08025","CO"
Custer County,"2021","First Quarter(p)","175","874","8.0","661","4.1","Total, all industries","08027","CO"
Delta County,"2021","First Quarter(p)","954","8105","-1.9","730","-0.4","Total, all industries","08029","CO"
Denver County,"2021","First Quarter(p)","37951","497507","-6.1","1758","8.5","Total, all industries","08031","CO"
Dolores County,"2021","First Quarter(p)","92","548","9.6","609","-3.5","Total, all industries","08033","CO"
Douglas County,"2021","First Quarter(p)","13867","130786","0.9","1467","4.4","Total, all industries","08035","CO"
Eagle County,"2021","First Quarter(p)","3752","34041","-4.5","954","-0.5","Total, all industries","08037","CO"
Elbert County,"2021","First Quarter(p)","765","3826","0.7","905","6.8","Total, all industries","08039","CO"
El Paso County,"2021","First Quarter(p)","22565","279611","-1.7","1084","4.4","Total, all industries","08041","CO"
Fremont County,"2021","First Quarter(p)","1027","13539","2.2","877","5.2","Total, all industries","08043","CO"
Garfield County,"2021","First Quarter(p)","2838","24678","-1.8","995","-0.7","Total, all industries","08045","CO"
Gilpin County,"2021","First Quarter(p)","196","3814","-14.0","1033","3.4","Total, all industries","08047","CO"
Grand County,"2021","First Quarter(p)","955","7568","-8.0","754","4.4","Total, all industries","08049","CO"
Gunnison County,"2021","First Quarter(p)","1273","8859","1.0","772","1.8","Total, all industries","08051","CO"
Hinsdale County,"2021","First Quarter(p)","78","222","-7.1","659","7.0","Total, all industries","08053","CO"
Huerfano County,"2021","First Quarter(p)","201","1696","-4.5","686","-8.8","Total, all industries","08055","CO"
Jackson County,"2021","First Quarter(p)","94","546","2.8","727","2.5","Total, all industries","08057","CO"
Jefferson County,"2021","First Quarter(p)","22482","231333","-4.0","1284","3.0","Total, all industries","08059","CO"
Kiowa County,"2021","First Quarter(p)","52","481","-2.8","690","3.3","Total, all industries","08061","CO"
Kit Carson County,"2021","First Quarter(p)","310","2865","0.1","758","4.0","Total, all industries","08063","CO"
Lake County,"2021","First Quarter(p)","252","2327","-7.2","987","19.6","Total, all industries","08065","CO"
La Plata County,"2021","First Quarter(p)","2845","24019","-5.6","955","1.9","Total, all industries","08067","CO"
Larimer County,"2021","First Quarter(p)","13623","158970","-3.2","1144","5.9","Total, all industries","08069","CO"
Las Animas County,"2021","First Quarter(p)","585","4678","-3.4","777","4.2","Total, all industries","08071","CO"
Lincoln County,"2021","First Quarter(p)","175","2158","-1.7","851","4.7","Total, all industries","08073","CO"
Logan County,"2021","First Quarter(p)","653","7622","-2.6","851","4.5","Total, all industries","08075","CO"
Mesa County,"2021","First Quarter(p)","5287","62140","-0.7","892","0.3","Total, all industries","08077","CO"
Mineral County,"2021","First Quarter(p)","79","604","-10.4","644","2.7","Total, all industries","08079","CO"
Moffat County,"2021","First Quarter(p)","486","4554","1.6","1008","2.9","Total, all industries","08081","CO"
Montezuma County,"2021","First Quarter(p)","995","8756","-0.8","725","0.6","Total, all industries","08083","CO"
Montrose County,"2021","First Quarter(p)","1549","15149","0.2","815","1.5","Total, all industries","08085","CO"
Morgan County,"2021","First Quarter(p)","845","12133","-3.3","890","1.9","Total, all industries","08087","CO"
Otero County,"2021","First Quarter(p)","516","5963","-1.4","719","0.8","Total, all industries","08089","CO"
Ouray County,"2021","First Quarter(p)","369","1913","7.7","881","19.2","Total, all industries","08091","CO"
Park County,"2021","First Quarter(p)","612","2481","1.6","858","7.5","Total, all industries","08093","CO"
Phillips County,"2021","First Quarter(p)","174","1644","-0.6","773","1.6","Total, all industries","08095","CO"
Pitkin County,"2021","First Quarter(p)","1990","16808","-8.7","1080","4.0","Total, all industries","08097","CO"
Prowers County,"2021","First Quarter(p)","398","4440","-2.6","703","1.2","Total, all industries","08099","CO"
Pueblo County,"2021","First Quarter(p)","3692","60351","-4.7","901","2.6","Total, all industries","08101","CO"
Rio Blanco County,"2021","First Quarter(p)","275","2672","-4.1","999","-0.9","Total, all industries","08103","CO"
Rio Grande County,"2021","First Quarter(p)","465","3987","0.1","779","1.3","Total, all industries","08105","CO"
Routt County,"2021","First Quarter(p)","1961","14995","-8.1","946","7.0","Total, all industries","08107","CO"
Saguache County,"2021","First Quarter(p)","221","1503","-5.2","655","4.0","Total, all industries","08109","CO"
San Juan County,"2021","First Quarter(p)","83","323","5.9","553","5.5","Total, all industries","08111","CO"
San Miguel County,"2021","First Quarter(p)","764","5890","-4.3","895","7.8","Total, all industries","08113","CO"
Sedgwick County,"2021","First Quarter(p)","93","753","-7.4","703","0.6","Total, all industries","08115","CO"
Summit County,"2021","First Quarter(p)","2454","22967","-7.2","852","6.6","Total, all industries","08117","CO"
Teller County,"2021","First Quarter(p)","987","7477","3.9","895","6.4","Total, all industries","08119","CO"
Washington County,"2021","First Quarter(p)","152","1135","-6.6","756","-9.9","Total, all industries","08121","CO"
Weld County,"2021","First Quarter(p)","8414","104555","-7.5","1083","-7.0","Total, all industries","08123","CO"
Yuma County,"2021","First Quarter(p)","415","3891","-0.6","800","1.3","Total, all industries","08125","CO"
 
