"Source","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages"
"Period","First Quarter(p)"
"Industry","Total, all industries"
"Area Name","Year","Quarter","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Adams County,"2021","First Quarter(p)","2124","33100","-5.4","857","5.2","Total, all industries","42001","PA"
Allegheny County,"2021","First Quarter(p)","35747","637199","-7.2","1368","4.4","Total, all industries","42003","PA"
Armstrong County,"2021","First Quarter(p)","1457","15458","-3.8","827","1.8","Total, all industries","42005","PA"
Beaver County,"2021","First Quarter(p)","3635","51722","-8.3","1113","0.6","Total, all industries","42007","PA"
Bedford County,"2021","First Quarter(p)","1177","15145","-1.4","719","5.0","Total, all industries","42009","PA"
Berks County,"2021","First Quarter(p)","8725","161875","-6.6","1048","2.3","Total, all industries","42011","PA"
Blair County,"2021","First Quarter(p)","3447","55479","-4.0","843","2.9","Total, all industries","42013","PA"
Bradford County,"2021","First Quarter(p)","1569","21197","-4.1","984","1.0","Total, all industries","42015","PA"
Bucks County,"2021","First Quarter(p)","20173","247019","-5.9","1092","4.4","Total, all industries","42017","PA"
Butler County,"2021","First Quarter(p)","5121","81128","-6.3","1057","1.0","Total, all industries","42019","PA"
Cambria County,"2021","First Quarter(p)","3307","46365","-5.8","781","0.1","Total, all industries","42021","PA"
Cameron County,"2021","First Quarter(p)","153","1704","-3.0","762","-1.3","Total, all industries","42023","PA"
Carbon County,"2021","First Quarter(p)","1247","14880","-3.3","728","0.7","Total, all industries","42025","PA"
Centre County,"2021","First Quarter(p)","3612","62633","-6.2","1079","6.1","Total, all industries","42027","PA"
Chester County,"2021","First Quarter(p)","15770","235357","-5.8","1652","7.5","Total, all industries","42029","PA"
Clarion County,"2021","First Quarter(p)","1062","12136","-4.9","727","2.3","Total, all industries","42031","PA"
Clearfield County,"2021","First Quarter(p)","2085","28701","-2.5","811","0.5","Total, all industries","42033","PA"
Clinton County,"2021","First Quarter(p)","909","12180","-5.3","843","1.1","Total, all industries","42035","PA"
Columbia County,"2021","First Quarter(p)","1562","23226","-5.6","802","-0.4","Total, all industries","42037","PA"
Crawford County,"2021","First Quarter(p)","2139","27851","-4.9","797","1.4","Total, all industries","42039","PA"
Cumberland County,"2021","First Quarter(p)","6634","131353","-2.6","1066","1.2","Total, all industries","42041","PA"
Dauphin County,"2021","First Quarter(p)","7455","174422","-5.1","1187","3.8","Total, all industries","42043","PA"
Delaware County,"2021","First Quarter(p)","14022","208708","-6.4","1319","5.4","Total, all industries","42045","PA"
Elk County,"2021","First Quarter(p)","962","13125","-7.0","850","0.2","Total, all industries","42047","PA"
Erie County,"2021","First Quarter(p)","6749","112145","-6.6","868","2.2","Total, all industries","42049","PA"
Fayette County,"2021","First Quarter(p)","2783","36205","-5.9","812","-0.5","Total, all industries","42051","PA"
Forest County,"2021","First Quarter(p)","150","1825","-4.0","976","10.9","Total, all industries","42053","PA"
Franklin County,"2021","First Quarter(p)","3338","57208","-4.1","858","-1.0","Total, all industries","42055","PA"
Fulton County,"2021","First Quarter(p)","308","4446","-23.8","848","-6.7","Total, all industries","42057","PA"
Greene County,"2021","First Quarter(p)","789","11447","-7.0","1091","-3.3","Total, all industries","42059","PA"
Huntingdon County,"2021","First Quarter(p)","988","11644","-5.8","822","6.8","Total, all industries","42061","PA"
Indiana County,"2021","First Quarter(p)","1944","27107","-7.3","926","-0.4","Total, all industries","42063","PA"
Jefferson County,"2021","First Quarter(p)","1185","14296","-6.9","778","0.3","Total, all industries","42065","PA"
Juniata County,"2021","First Quarter(p)","540","6579","-5.7","695","-1.8","Total, all industries","42067","PA"
Lackawanna County,"2021","First Quarter(p)","5464","90307","-5.6","887","4.6","Total, all industries","42069","PA"
Lancaster County,"2021","First Quarter(p)","13856","234784","-3.8","974","3.6","Total, all industries","42071","PA"
Lawrence County,"2021","First Quarter(p)","1982","25847","-6.4","826","1.2","Total, all industries","42073","PA"
Lebanon County,"2021","First Quarter(p)","2831","49262","-3.2","875","3.8","Total, all industries","42075","PA"
Lehigh County,"2021","First Quarter(p)","8754","186459","-3.0","1129","0.0","Total, all industries","42077","PA"
Luzerne County,"2021","First Quarter(p)","7363","134190","-7.2","935","6.1","Total, all industries","42079","PA"
Lycoming County,"2021","First Quarter(p)","3095","47649","-4.2","892","1.8","Total, all industries","42081","PA"
Mckean County,"2021","First Quarter(p)","1107","13489","-4.6","818","1.6","Total, all industries","42083","PA"
Mercer County,"2021","First Quarter(p)","2884","41771","-5.5","874","3.1","Total, all industries","42085","PA"
Mifflin County,"2021","First Quarter(p)","1060","15237","-4.2","798","0.8","Total, all industries","42087","PA"
Monroe County,"2021","First Quarter(p)","3521","52812","-5.8","924","3.2","Total, all industries","42089","PA"
Montgomery County,"2021","First Quarter(p)","27919","482640","-3.8","1682","5.5","Total, all industries","42091","PA"
Montour County,"2021","First Quarter(p)","483","15882","-1.2","1386","4.3","Total, all industries","42093","PA"
Northampton County,"2021","First Quarter(p)","6777","113169","-4.5","1001","2.1","Total, all industries","42095","PA"
Northumberland County,"2021","First Quarter(p)","1849","25309","-4.5","851","-0.7","Total, all industries","42097","PA"
Perry County,"2021","First Quarter(p)","883","7646","-1.7","657","3.0","Total, all industries","42099","PA"
Philadelphia County,"2021","First Quarter(p)","34079","636112","-9.5","1411","1.6","Total, all industries","42101","PA"
Pike County,"2021","First Quarter(p)","1075","10465","-3.4","701","4.9","Total, all industries","42103","PA"
Potter County,"2021","First Quarter(p)","459","4925","-4.4","857","1.5","Total, all industries","42105","PA"
Schuylkill County,"2021","First Quarter(p)","3000","46693","-5.8","854","2.3","Total, all industries","42107","PA"
Snyder County,"2021","First Quarter(p)","973","14929","-2.7","753","4.0","Total, all industries","42109","PA"
Somerset County,"2021","First Quarter(p)","1830","22896","-3.7","808","2.4","Total, all industries","42111","PA"
Sullivan County,"2021","First Quarter(p)","198","1270","-7.3","714","2.9","Total, all industries","42113","PA"
