"Source","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages"
"Period","First Quarter(p)"
"Industry","Total, all industries"
"Area Name","Year","Quarter","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Belknap County,"2021","First Quarter(p)","2134","23849","-4.9","888","3.4","Total, all industries","33001","NH"
Carroll County,"2021","First Quarter(p)","2024","17735","-7.2","784","6.4","Total, all industries","33003","NH"
Cheshire County,"2021","First Quarter(p)","2202","30250","-3.4","951","-2.3","Total, all industries","33005","NH"
Coos County,"2021","First Quarter(p)","988","11073","-5.6","797","3.6","Total, all industries","33007","NH"
Grafton County,"2021","First Quarter(p)","3362","51513","-3.6","1210","-0.2","Total, all industries","33009","NH"
Hillsborough County,"2021","First Quarter(p)","12397","194107","-4.7","1310","-0.2","Total, all industries","33011","NH"
Merrimack County,"2021","First Quarter(p)","5294","72628","-5.8","1068","0.8","Total, all industries","33013","NH"
Rockingham County,"2021","First Quarter(p)","11386","142259","-4.8","1224","6.5","Total, all industries","33015","NH"
Strafford County,"2021","First Quarter(p)","3055","46496","-4.5","1091","2.3","Total, all industries","33017","NH"
Sullivan County,"2021","First Quarter(p)","1112","13220","-3.2","932","9.5","Total, all industries","33019","NH"
 
