"Source","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages"
"Period","First Quarter(p)"
"Industry","Total, all industries"
"Area Name","Year","Quarter","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Ada County,"2021","First Quarter(p)","19385","257917","0.4","1067","5.4","Total, all industries","16001","ID"
Adams County,"2021","First Quarter(p)","184","942","1.9","804","11.7","Total, all industries","16003","ID"
Bannock County,"2021","First Quarter(p)","2554","34231","0.0","742","2.6","Total, all industries","16005","ID"
Bear Lake County,"2021","First Quarter(p)","229","1645","-1.0","575","0.3","Total, all industries","16007","ID"
Benewah County,"2021","First Quarter(p)","372","3356","0.0","863","4.1","Total, all industries","16009","ID"
Bingham County,"2021","First Quarter(p)","1203","14793","-0.4","743","5.4","Total, all industries","16011","ID"
Blaine County,"2021","First Quarter(p)","1834","12728","-1.2","918","11.7","Total, all industries","16013","ID"
Boise County,"2021","First Quarter(p)","219","1653","-2.4","506","8.1","Total, all industries","16015","ID"
Bonner County,"2021","First Quarter(p)","1955","14678","2.5","746","2.2","Total, all industries","16017","ID"
Bonneville County,"2021","First Quarter(p)","4399","55696","3.6","795","2.4","Total, all industries","16019","ID"
Boundary County,"2021","First Quarter(p)","504","3712","2.3","724","-0.1","Total, all industries","16021","ID"
Butte County,"2021","First Quarter(p)","130","8911","4.3","1767","-2.5","Total, all industries","16023","ID"
Camas County,"2021","First Quarter(p)","64","327","9.4","924","-3.3","Total, all industries","16025","ID"
Canyon County,"2021","First Quarter(p)","6392","78049","7.0","751","1.2","Total, all industries","16027","ID"
Caribou County,"2021","First Quarter(p)","297","3451","-1.0","997","-4.1","Total, all industries","16029","ID"
Cassia County,"2021","First Quarter(p)","982","11717","1.2","722","-1.0","Total, all industries","16031","ID"
Clark County,"2021","First Quarter(p)","46","257","-8.2","968","7.1","Total, all industries","16033","ID"
Clearwater County,"2021","First Quarter(p)","325","2569","-1.0","754","3.9","Total, all industries","16035","ID"
Custer County,"2021","First Quarter(p)","256","1332","6.6","607","-2.6","Total, all industries","16037","ID"
Elmore County,"2021","First Quarter(p)","653","7109","0.1","690","2.2","Total, all industries","16039","ID"
Franklin County,"2021","First Quarter(p)","454","3757","1.6","630","5.7","Total, all industries","16041","ID"
Fremont County,"2021","First Quarter(p)","424","2907","0.9","663","0.8","Total, all industries","16043","ID"
Gem County,"2021","First Quarter(p)","568","4072","8.8","677","1.7","Total, all industries","16045","ID"
Gooding County,"2021","First Quarter(p)","547","6099","-1.3","777","1.7","Total, all industries","16047","ID"
Idaho County,"2021","First Quarter(p)","614","4418","3.3","690","0.3","Total, all industries","16049","ID"
Jefferson County,"2021","First Quarter(p)","848","7319","5.6","656","5.8","Total, all industries","16051","ID"
Jerome County,"2021","First Quarter(p)","737","10854","3.1","776","1.7","Total, all industries","16053","ID"
Kootenai County,"2021","First Quarter(p)","6222","64367","2.2","892","11.9","Total, all industries","16055","ID"
Latah County,"2021","First Quarter(p)","1176","13036","-4.1","756","4.4","Total, all industries","16057","ID"
Lemhi County,"2021","First Quarter(p)","393","2366","-0.6","762","6.9","Total, all industries","16059","ID"
Lewis County,"2021","First Quarter(p)","201","1578","0.1","671","8.6","Total, all industries","16061","ID"
Lincoln County,"2021","First Quarter(p)","160","1566","-4.3","740","3.2","Total, all industries","16063","ID"
Madison County,"2021","First Quarter(p)","1241","16264","1.3","642","5.9","Total, all industries","16065","ID"
Minidoka County,"2021","First Quarter(p)","662","8164","1.0","738","0.1","Total, all industries","16067","ID"
Nez Perce County,"2021","First Quarter(p)","1305","20673","0.0","834","-2.3","Total, all industries","16069","ID"
Oneida County,"2021","First Quarter(p)","151","1316","8.2","570","3.4","Total, all industries","16071","ID"
Owyhee County,"2021","First Quarter(p)","334","3208","0.9","669","-0.6","Total, all industries","16073","ID"
Payette County,"2021","First Quarter(p)","680","6684","2.4","742","1.2","Total, all industries","16075","ID"
Power County,"2021","First Quarter(p)","255","3328","-0.8","805","-1.5","Total, all industries","16077","ID"
Shoshone County,"2021","First Quarter(p)","421","4810","0.5","860","22.7","Total, all industries","16079","ID"
Teton County,"2021","First Quarter(p)","635","3420","5.5","748","0.7","Total, all industries","16081","ID"
Twin Falls County,"2021","First Quarter(p)","3240","39875","0.3","733","1.9","Total, all industries","16083","ID"
Valley County,"2021","First Quarter(p)","741","4741","3.5","725","3.4","Total, all industries","16085","ID"
Washington County,"2021","First Quarter(p)","300","2749","-0.8","662","4.6","Total, all industries","16087","ID"
 
