"Source","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages"
"Period","First Quarter(p)"
"Industry","Total, all industries"
"Area Name","Year","Quarter","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Alameda County,"2021","First Quarter(p)","66374","746207","-5.7","1754","8.3","Total, all industries","06001","CA"
Alpine County,"2021","First Quarter(p)","86","954","-5.2","722","-7.9","Total, all industries","06003","CA"
Amador County,"2021","First Quarter(p)","1181","11611","-7.5","1000","11.1","Total, all industries","06005","CA"
Butte County,"2021","First Quarter(p)","8293","75361","-6.5","923","6.7","Total, all industries","06007","CA"
Calaveras County,"2021","First Quarter(p)","1405","9550","-3.6","840","7.1","Total, all industries","06009","CA"
Colusa County,"2021","First Quarter(p)","917","8739","0.4","878","3.1","Total, all industries","06011","CA"
Contra Costa County,"2021","First Quarter(p)","34732","342891","-6.9","1604","10.2","Total, all industries","06013","CA"
Del Norte County,"2021","First Quarter(p)","801","7616","-7.0","923","14.2","Total, all industries","06015","CA"
El Dorado County,"2021","First Quarter(p)","5818","53898","-5.1","1085","5.0","Total, all industries","06017","CA"
Fresno County,"2021","First Quarter(p)","38777","375009","-4.4","936","6.6","Total, all industries","06019","CA"
Glenn County,"2021","First Quarter(p)","1224","9477","-0.9","848","0.0","Total, all industries","06021","CA"
Humboldt County,"2021","First Quarter(p)","6120","46481","-8.6","891","8.9","Total, all industries","06023","CA"
Imperial County,"2021","First Quarter(p)","8202","62962","-1.6","850","3.0","Total, all industries","06025","CA"
Inyo County,"2021","First Quarter(p)","769","6995","-7.1","944","3.5","Total, all industries","06027","CA"
Kern County,"2021","First Quarter(p)","22518","300496","-4.3","999","3.2","Total, all industries","06029","CA"
Kings County,"2021","First Quarter(p)","4526","45301","-5.0","930","3.6","Total, all industries","06031","CA"
Lake County,"2021","First Quarter(p)","3072","16028","-4.2","855","7.0","Total, all industries","06033","CA"
Lassen County,"2021","First Quarter(p)","733","9097","-2.4","1065","14.4","Total, all industries","06035","CA"
Los Angeles County,"2021","First Quarter(p)","520298","4139653","-7.7","1433","7.4","Total, all industries","06037","CA"
Madera County,"2021","First Quarter(p)","4664","48790","-3.4","906","2.8","Total, all industries","06039","CA"
Marin County,"2021","First Quarter(p)","12594","103091","-9.7","1718","9.8","Total, all industries","06041","CA"
Mariposa County,"2021","First Quarter(p)","559","4463","-19.1","859","9.8","Total, all industries","06043","CA"
Mendocino County,"2021","First Quarter(p)","4195","29769","-7.9","864","6.1","Total, all industries","06045","CA"
