"Source","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages"
"Period","First Quarter(p)"
"Industry","Total, all industries"
"Area Name","Year","Quarter","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Adams County,"2021","First Quarter(p)","1704","31103","-2.6","871","2.5","Total, all industries","17001","IL"
Alexander County,"2021","First Quarter(p)","90","826","-18.3","757","3.1","Total, all industries","17003","IL"
Bond County,"2021","First Quarter(p)","297","4120","-4.4","801","-3.7","Total, all industries","17005","IL"
Boone County,"2021","First Quarter(p)","872","16106","-3.5","932","2.3","Total, all industries","17007","IL"
Brown County,"2021","First Quarter(p)","129","4382","-4.9","911","-11.9","Total, all industries","17009","IL"
Bureau County,"2021","First Quarter(p)","779","10763","-2.0","865","6.9","Total, all industries","17011","IL"
Calhoun County,"2021","First Quarter(p)","92","693","-2.8","567","7.8","Total, all industries","17013","IL"
Carroll County,"2021","First Quarter(p)","393","3804","-2.7","818","6.0","Total, all industries","17015","IL"
Cass County,"2021","First Quarter(p)","275","5161","-6.0","833","6.7","Total, all industries","17017","IL"
Champaign County,"2021","First Quarter(p)","4133","89670","-1.9","1060","10.0","Total, all industries","17019","IL"
Christian County,"2021","First Quarter(p)","704","9212","-1.0","841","-0.1","Total, all industries","17021","IL"
Clark County,"2021","First Quarter(p)","321","4224","-2.8","735","-0.3","Total, all industries","17023","IL"
Clay County,"2021","First Quarter(p)","340","4594","-8.1","775","9.3","Total, all industries","17025","IL"
Clinton County,"2021","First Quarter(p)","896","11708","-2.0","764","3.5","Total, all industries","17027","IL"
Coles County,"2021","First Quarter(p)","1038","22344","-3.4","863","9.7","Total, all industries","17029","IL"
Cook County,"2021","First Quarter(p)","139785","2363501","-7.9","1625","8.3","Total, all industries","17031","IL"
Crawford County,"2021","First Quarter(p)","415","6818","-4.1","1033","5.3","Total, all industries","17033","IL"
Cumberland County,"2021","First Quarter(p)","192","2718","-3.9","664","9.0","Total, all industries","17035","IL"
DeKalb County,"2021","First Quarter(p)","2005","33905","-5.8","906","3.5","Total, all industries","17037","IL"
DeWitt County,"2021","First Quarter(p)","370","4650","-0.7","1179","0.3","Total, all industries","17039","IL"
Douglas County,"2021","First Quarter(p)","576","7328","-1.8","805","1.9","Total, all industries","17041","IL"
DuPage County,"2021","First Quarter(p)","34593","571410","-5.5","1412","3.5","Total, all industries","17043","IL"
Edgar County,"2021","First Quarter(p)","347","6824","-3.0","942","5.6","Total, all industries","17045","IL"
Edwards County,"2021","First Quarter(p)","151","2024","-3.2","764","-1.8","Total, all industries","17047","IL"
Effingham County,"2021","First Quarter(p)","1211","21815","-4.6","832","5.4","Total, all industries","17049","IL"
Fayette County,"2021","First Quarter(p)","471","5298","-0.6","683","4.9","Total, all industries","17051","IL"
Ford County,"2021","First Quarter(p)","342","4507","-3.2","884","4.1","Total, all industries","17053","IL"
Franklin County,"2021","First Quarter(p)","719","8130","-4.4","723","1.3","Total, all industries","17055","IL"
Fulton County,"2021","First Quarter(p)","671","7872","-4.5","713","0.7","Total, all industries","17057","IL"
Gallatin County,"2021","First Quarter(p)","120","795","-8.9","813","-10.9","Total, all industries","17059","IL"
Greene County,"2021","First Quarter(p)","241","2302","-2.9","691","8.3","Total, all industries","17061","IL"
Grundy County,"2021","First Quarter(p)","1186","20931","1.0","1219","4.2","Total, all industries","17063","IL"
Hamilton County,"2021","First Quarter(p)","206","1853","-8.9","800","-2.0","Total, all industries","17065","IL"
Hancock County,"2021","First Quarter(p)","418","3783","-4.8","713","3.6","Total, all industries","17067","IL"
Hardin County,"2021","First Quarter(p)","64","613","-1.3","635","3.9","Total, all industries","17069","IL"
Henderson County,"2021","First Quarter(p)","143","1075","2.8","573","4.2","Total, all industries","17071","IL"
