"Source","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages"
"Period","First Quarter(p)"
"Industry","Total, all industries"
"Area Name","Year","Quarter","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Churchill County,"2021","First Quarter(p)","607","8472","0.8","946","2.4","Total, all industries","32001","NV"
Clark County,"2021","First Quarter(p)","56144","906170","-11.9","1046","2.9","Total, all industries","32003","NV"
Douglas County,"2021","First Quarter(p)","1802","18160","-6.3","1068","9.1","Total, all industries","32005","NV"
Elko County,"2021","First Quarter(p)","1340","20821","-6.8","1068","2.0","Total, all industries","32007","NV"
Esmeralda County,"2021","First Quarter(p)","23","262","-7.1","994","3.8","Total, all industries","32009","NV"
Eureka County,"2021","First Quarter(p)","53","4357","-1.4","2251","-1.5","Total, all industries","32011","NV"
Humboldt County,"2021","First Quarter(p)","493","7614","-0.5","1204","2.0","Total, all industries","32013","NV"
Lander County,"2021","First Quarter(p)","122","3593","3.1","1539","-3.4","Total, all industries","32015","NV"
Lincoln County,"2021","First Quarter(p)","118","1277","2.6","762","-1.8","Total, all industries","32017","NV"
Lyon County,"2021","First Quarter(p)","1037","13014","2.4","890","1.4","Total, all industries","32019","NV"
Mineral County,"2021","First Quarter(p)","81","1657","-6.9","1010","0.6","Total, all industries","32021","NV"
Nye County,"2021","First Quarter(p)","850","12474","-3.7","1067","5.0","Total, all industries","32023","NV"
Pershing County,"2021","First Quarter(p)","104","2016","5.5","1318","11.1","Total, all industries","32027","NV"
Storey County,"2021","First Quarter(p)","222","19325","7.9","1547","16.5","Total, all industries","32029","NV"
Washoe County,"2021","First Quarter(p)","15219","216521","-3.6","1092","6.3","Total, all industries","32031","NV"
White Pine County,"2021","First Quarter(p)","261","4210","0.8","1194","-2.8","Total, all industries","32033","NV"
Carson City,"2021","First Quarter(p)","2051","29819","-2.0","997","0.9","Total, all industries","32510","NV"
 
