"Source","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages"
"Period","First Quarter(p)"
"Industry","Total, all industries"
"Area Name","Year","Quarter","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Adams County,"2021","First Quarter(p)","1105","14746","-2.4","773","1.0","Total, all industries","31001","NE"
Antelope County,"2021","First Quarter(p)","283","2213","-9.2","738","-5.1","Total, all industries","31003","NE"
Arthur County,"2021","First Quarter(p)","20","88","0.0","546","0.0","Total, all industries","31005","NE"
Banner County,"2021","First Quarter(p)","13","116","3.6","699","-2.6","Total, all industries","31007","NE"
Blaine County,"2021","First Quarter(p)","24","130","0.8","697","2.3","Total, all industries","31009","NE"
Boone County,"2021","First Quarter(p)","270","2315","0.1","774","2.4","Total, all industries","31011","NE"
Box Butte County,"2021","First Quarter(p)","399","3568","-3.5","733","3.2","Total, all industries","31013","NE"
Boyd County,"2021","First Quarter(p)","104","541","-6.6","591","3.3","Total, all industries","31015","NE"
Brown County,"2021","First Quarter(p)","176","1357","13.4","703","1.7","Total, all industries","31017","NE"
Buffalo County,"2021","First Quarter(p)","1908","26373","-2.6","822","1.7","Total, all industries","31019","NE"
Burt County,"2021","First Quarter(p)","254","1828","1.4","710","1.6","Total, all industries","31021","NE"
Butler County,"2021","First Quarter(p)","278","2510","2.9","782","-8.2","Total, all industries","31023","NE"
Cass County,"2021","First Quarter(p)","690","5528","-0.5","818","0.0","Total, all industries","31025","NE"
Cedar County,"2021","First Quarter(p)","353","2608","1.7","725","3.1","Total, all industries","31027","NE"
Chase County,"2021","First Quarter(p)","238","1719","-4.3","781","3.6","Total, all industries","31029","NE"
Cherry County,"2021","First Quarter(p)","318","2198","6.1","617","2.8","Total, all industries","31031","NE"
Cheyenne County,"2021","First Quarter(p)","381","3827","-3.7","750","-4.0","Total, all industries","31033","NE"
Clay County,"2021","First Quarter(p)","286","2148","-1.9","824","-1.0","Total, all industries","31035","NE"
Colfax County,"2021","First Quarter(p)","318","4823","-4.7","927","11.7","Total, all industries","31037","NE"
Cuming County,"2021","First Quarter(p)","429","3736","-0.6","802","2.4","Total, all industries","31039","NE"
