"Source","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages"
"Period","First Quarter(p)"
"Industry","Total, all industries"
"Area Name","Year","Quarter","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Androscoggin County,"2021","First Quarter(p)","3238","47526","-2.3","896","3.1","Total, all industries","23001","ME"
Aroostook County,"2021","First Quarter(p)","2283","24757","-3.9","811","3.2","Total, all industries","23003","ME"
Cumberland County,"2021","First Quarter(p)","15166","175300","-4.2","1204","6.5","Total, all industries","23005","ME"
Franklin County,"2021","First Quarter(p)","1000","10352","1.4","742","2.6","Total, all industries","23007","ME"
Hancock County,"2021","First Quarter(p)","2710","19262","-1.9","871","6.2","Total, all industries","23009","ME"
Kennebec County,"2021","First Quarter(p)","3947","58359","-3.4","929","5.7","Total, all industries","23011","ME"
Knox County,"2021","First Quarter(p)","2080","15736","-3.2","842","4.0","Total, all industries","23013","ME"
Lincoln County,"2021","First Quarter(p)","1621","9818","-0.6","801","3.1","Total, all industries","23015","ME"
Oxford County,"2021","First Quarter(p)","1623","16510","-3.7","760","-1.2","Total, all industries","23017","ME"
Penobscot County,"2021","First Quarter(p)","4747","66830","-3.9","878","0.8","Total, all industries","23019","ME"
Piscataquis County,"2021","First Quarter(p)","555","5695","6.9","734","5.0","Total, all industries","23021","ME"
Sagadahoc County,"2021","First Quarter(p)","1186","15941","-2.5","1035","7.3","Total, all industries","23023","ME"
Somerset County,"2021","First Quarter(p)","1435","15481","0.2","832","0.0","Total, all industries","23025","ME"
Waldo County,"2021","First Quarter(p)","1282","10787","-2.1","863","0.3","Total, all industries","23027","ME"
Washington County,"2021","First Quarter(p)","1087","9297","-4.2","768","3.8","Total, all industries","23029","ME"
York County,"2021","First Quarter(p)","7373","68429","-1.8","969","3.5","Total, all industries","23031","ME"
 
