"Source","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages"
"Period","First Quarter(p)"
"Industry","Total, all industries"
"Area Name","Year","Quarter","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Apache County,"2021","First Quarter(p)","614","16526","-7.5","886","1.5","Total, all industries","04001","AZ"
Cochise County,"2021","First Quarter(p)","2314","34097","-4.0","945","1.0","Total, all industries","04003","AZ"
Coconino County,"2021","First Quarter(p)","3560","56707","-8.0","853","-0.2","Total, all industries","04005","AZ"
Gila County,"2021","First Quarter(p)","998","14324","0.3","914","5.8","Total, all industries","04007","AZ"
Graham County,"2021","First Quarter(p)","568","9885","0.8","941","7.8","Total, all industries","04009","AZ"
Greenlee County,"2021","First Quarter(p)","91","4944","-6.5","1696","14.0","Total, all industries","04011","AZ"
La Paz County,"2021","First Quarter(p)","364","5889","-6.2","776","6.0","Total, all industries","04012","AZ"
Maricopa County,"2021","First Quarter(p)","114508","2058172","-1.9","1217","5.1","Total, all industries","04013","AZ"
Mohave County,"2021","First Quarter(p)","4060","53443","3.2","783","0.5","Total, all industries","04015","AZ"
Navajo County,"2021","First Quarter(p)","1692","26427","0.4","792","4.2","Total, all industries","04017","AZ"
Pima County,"2021","First Quarter(p)","19543","365082","-4.0","1009","1.8","Total, all industries","04019","AZ"
Pinal County,"2021","First Quarter(p)","3509","64258","-1.7","875","2.1","Total, all industries","04021","AZ"
Santa Cruz County,"2021","First Quarter(p)","1137","13431","-5.0","927","3.5","Total, all industries","04023","AZ"
Yavapai County,"2021","First Quarter(p)","6094","64745","-1.3","829","4.1","Total, all industries","04025","AZ"
Yuma County,"2021","First Quarter(p)","3379","71855","-5.2","820","4.3","Total, all industries","04027","AZ"
 
