"Source","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages"
"Period","First Quarter(p)"
"Industry","Total, all industries"
"Area Name","Year","Quarter","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Bernalillo County,"2021","First Quarter(p)","20466","315211","-5.5","1013","4.1","Total, all industries","35001","NM"
Catron County,"2021","First Quarter(p)","118","664","8.0","570","-0.3","Total, all industries","35003","NM"
Chaves County,"2021","First Quarter(p)","1851","20312","-5.4","745","4.6","Total, all industries","35005","NM"
Cibola County,"2021","First Quarter(p)","444","6921","-9.3","766","6.4","Total, all industries","35006","NM"
Colfax County,"2021","First Quarter(p)","535","4024","-5.2","705","3.1","Total, all industries","35007","NM"
Curry County,"2021","First Quarter(p)","1280","16898","-3.7","743","2.3","Total, all industries","35009","NM"
De Baca County,"2021","First Quarter(p)","76","411","-9.9","661","4.1","Total, all industries","35011","NM"
Dona Ana County,"2021","First Quarter(p)","5116","69145","-5.9","798","4.9","Total, all industries","35013","NM"
Eddy County,"2021","First Quarter(p)","1958","28030","-17.5","1252","-1.8","Total, all industries","35015","NM"
Grant County,"2021","First Quarter(p)","744","8239","-11.9","940","7.8","Total, all industries","35017","NM"
Guadalupe County,"2021","First Quarter(p)","171","1333","-8.9","660","8.6","Total, all industries","35019","NM"
Harding County,"2021","First Quarter(p)","37","151","-1.9","715","11.2","Total, all industries","35021","NM"
Hidalgo County,"2021","First Quarter(p)","158","1407","-5.3","867","10.6","Total, all industries","35023","NM"
Lea County,"2021","First Quarter(p)","2208","26563","-18.6","1009","-4.3","Total, all industries","35025","NM"
Lincoln County,"2021","First Quarter(p)","825","5852","-9.4","685","5.9","Total, all industries","35027","NM"
Los Alamos County,"2021","First Quarter(p)","517","17596","-0.9","1752","-4.3","Total, all industries","35028","NM"
Luna County,"2021","First Quarter(p)","556","7017","-3.3","753","7.1","Total, all industries","35029","NM"
Mckinley County,"2021","First Quarter(p)","1276","18765","-10.9","755","7.5","Total, all industries","35031","NM"
Mora County,"2021","First Quarter(p)","142","681","0.1","659","2.8","Total, all industries","35033","NM"
Otero County,"2021","First Quarter(p)","1236","16814","-7.1","809","6.3","Total, all industries","35035","NM"
Quay County,"2021","First Quarter(p)","329","2332","-9.0","702","3.7","Total, all industries","35037","NM"
Rio Arriba County,"2021","First Quarter(p)","888","8905","-8.0","744","0.9","Total, all industries","35039","NM"
Roosevelt County,"2021","First Quarter(p)","452","5900","-2.9","722","3.9","Total, all industries","35041","NM"
Sandoval County,"2021","First Quarter(p)","2656","29103","-9.3","906","5.7","Total, all industries","35043","NM"
San Juan County,"2021","First Quarter(p)","2864","41121","-9.3","914","2.6","Total, all industries","35045","NM"
San Miguel County,"2021","First Quarter(p)","791","7364","-7.4","673","6.3","Total, all industries","35047","NM"
Santa Fe County,"2021","First Quarter(p)","6220","56214","-8.4","940","7.1","Total, all industries","35049","NM"
Sierra County,"2021","First Quarter(p)","360","3341","-5.1","753","12.7","Total, all industries","35051","NM"
Socorro County,"2021","First Quarter(p)","401","4789","-7.0","792","5.7","Total, all industries","35053","NM"
Taos County,"2021","First Quarter(p)","1330","9801","-14.7","681","9.7","Total, all industries","35055","NM"
Torrance County,"2021","First Quarter(p)","343","3319","-2.1","822","17.9","Total, all industries","35057","NM"
Union County,"2021","First Quarter(p)","177","1207","-4.0","733","8.4","Total, all industries","35059","NM"
Valencia County,"2021","First Quarter(p)","1443","15587","0.6","723","3.9","Total, all industries","35061","NM"
 
