"Source","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages"
"Period","First Quarter(p)"
"Industry","Total, all industries"
"Area Name","Year","Quarter","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Aitkin County,"2021","First Quarter(p)","472","3910","-4.1","796","9.9","Total, all industries","27001","MN"
Anoka County,"2021","First Quarter(p)","8160","121248","-4.1","1071","4.0","Total, all industries","27003","MN"
Becker County,"2021","First Quarter(p)","1078","13835","-2.9","794","7.7","Total, all industries","27005","MN"
Beltrami County,"2021","First Quarter(p)","1276","19089","-3.9","881","5.4","Total, all industries","27007","MN"
Benton County,"2021","First Quarter(p)","1036","16692","-1.4","863","2.1","Total, all industries","27009","MN"
Big Stone County,"2021","First Quarter(p)","212","1595","-2.8","737","8.7","Total, all industries","27011","MN"
Blue Earth County,"2021","First Quarter(p)","2109","37573","-5.1","942","6.4","Total, all industries","27013","MN"
Brown County,"2021","First Quarter(p)","859","12793","-5.2","864","4.5","Total, all industries","27015","MN"
Carlton County,"2021","First Quarter(p)","763","12301","-5.2","917","1.1","Total, all industries","27017","MN"
Carver County,"2021","First Quarter(p)","2656","36554","-6.5","1146","3.0","Total, all industries","27019","MN"
Cass County,"2021","First Quarter(p)","919","11346","18.5","1109","70.6","Total, all industries","27021","MN"
Chippewa County,"2021","First Quarter(p)","423","5258","-5.1","829","8.5","Total, all industries","27023","MN"
Chisago County,"2021","First Quarter(p)","1277","15262","-1.7","993","8.5","Total, all industries","27025","MN"
Clay County,"2021","First Quarter(p)","1433","18407","-2.4","852","2.9","Total, all industries","27027","MN"
Clearwater County,"2021","First Quarter(p)","230","2421","-2.1","858","9.4","Total, all industries","27029","MN"
Cook County,"2021","First Quarter(p)","319","2288","-9.1","693","4.1","Total, all industries","27031","MN"
Cottonwood County,"2021","First Quarter(p)","437","5592","5.4","777","1.0","Total, all industries","27033","MN"
Crow Wing County,"2021","First Quarter(p)","2243","27174","-3.0","828","1.5","Total, all industries","27035","MN"
Dakota County,"2021","First Quarter(p)","11107","175973","-5.6","1217","2.4","Total, all industries","27037","MN"
Dodge County,"2021","First Quarter(p)","466","5529","-7.8","881","-1.2","Total, all industries","27039","MN"
Douglas County,"2021","First Quarter(p)","1432","18214","-2.9","891","3.5","Total, all industries","27041","MN"
Faribault County,"2021","First Quarter(p)","482","4206","-2.2","814","3.4","Total, all industries","27043","MN"
Fillmore County,"2021","First Quarter(p)","733","5936","-0.4","706","3.1","Total, all industries","27045","MN"
Freeborn County,"2021","First Quarter(p)","831","11319","-4.7","814","1.8","Total, all industries","27047","MN"
