"Source","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages"
"Period","First Quarter(p)"
"Industry","Total, all industries"
"Area Name","Year","Quarter","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Alcona County,"2021","First Quarter(p)","196","1660","-1.9","663","-9.4","Total, all industries","26001","MI"
Alger County,"2021","First Quarter(p)","242","2134","-6.8","862","4.2","Total, all industries","26003","MI"
Allegan County,"2021","First Quarter(p)","2466","36901","-5.7","1052","1.1","Total, all industries","26005","MI"
Alpena County,"2021","First Quarter(p)","851","11046","-2.2","783","2.9","Total, all industries","26007","MI"
Antrim County,"2021","First Quarter(p)","571","4406","-8.2","729","6.3","Total, all industries","26009","MI"
Arenac County,"2021","First Quarter(p)","331","4369","11.1","692","-1.4","Total, all industries","26011","MI"
Baraga County,"2021","First Quarter(p)","210","2675","-8.2","854","6.9","Total, all industries","26013","MI"
Barry County,"2021","First Quarter(p)","977","12027","-2.0","849","7.1","Total, all industries","26015","MI"
Bay County,"2021","First Quarter(p)","2068","32028","-5.3","971","9.2","Total, all industries","26017","MI"
Benzie County,"2021","First Quarter(p)","485","3824","-3.1","714","5.5","Total, all industries","26019","MI"
Berrien County,"2021","First Quarter(p)","3781","55277","-7.0","1153","5.7","Total, all industries","26021","MI"
Branch County,"2021","First Quarter(p)","844","13761","-2.6","848","4.6","Total, all industries","26023","MI"
Calhoun County,"2021","First Quarter(p)","2442","50377","-6.2","1177","6.4","Total, all industries","26025","MI"
Cass County,"2021","First Quarter(p)","833","8774","-4.5","833","4.1","Total, all industries","26027","MI"
Charlevoix County,"2021","First Quarter(p)","824","9155","-3.9","874","0.8","Total, all industries","26029","MI"
Cheboygan County,"2021","First Quarter(p)","789","4989","-2.2","722","8.9","Total, all industries","26031","MI"
Chippewa County,"2021","First Quarter(p)","815","11495","-3.8","810","4.0","Total, all industries","26033","MI"
Clare County,"2021","First Quarter(p)","562","6159","-3.9","772","2.7","Total, all industries","26035","MI"
